,Notes,PC Set,Prime Form,Accidents
768,Cn Db Eb Fn Gn An Bb,013579A,013468A,"(0, -1, -1, 0, 0, 0, -1)"
769,Cn Db Eb Fn Gn An Bn,013579B,012468A,"(0, -1, -1, 0, 0, 0, 0)"
770,Cn Db Eb Fn Gn An B#,0135790,0013579,"(0, -1, -1, 0, 0, 0, 1)"
771,Cn Db Eb Fn Gn A# Bb,01357AA,0023579,"(0, -1, -1, 0, 0, 1, -1)"
772,Cn Db Eb Fn Gn A# Bn,01357AB,0123579,"(0, -1, -1, 0, 0, 1, 0)"
773,Cn Db Eb Fn Gn A# B#,01357A0,0223579,"(0, -1, -1, 0, 0, 1, 1)"
774,Cn Db Eb Fn G# Ab Bb,013588A,0024579,"(0, -1, -1, 0, 1, -1, -1)"
775,Cn Db Eb Fn G# Ab Bn,013588B,0034579,"(0, -1, -1, 0, 1, -1, 0)"
776,Cn Db Eb Fn G# Ab B#,0135880,0013588,"(0, -1, -1, 0, 1, -1, 1)"
777,Cn Db Eb Fn G# An Bb,013589A,0124579,"(0, -1, -1, 0, 1, 0, -1)"
778,Cn Db Eb Fn G# An Bn,013589B,0134579,"(0, -1, -1, 0, 1, 0, 0)"
779,Cn Db Eb Fn G# An B#,0135890,0144579,"(0, -1, -1, 0, 1, 0, 1)"
780,Cn Db Eb Fn G# A# Bb,01358AA,0224579,"(0, -1, -1, 0, 1, 1, -1)"
781,Cn Db Eb Fn G# A# Bn,01358AB,0234579,"(0, -1, -1, 0, 1, 1, 0)"
782,Cn Db Eb Fn G# A# B#,01358A0,0244579,"(0, -1, -1, 0, 1, 1, 1)"
783,Cn Db Eb F# Gb Ab Bb,013668A,0024679,"(0, -1, -1, 1, -1, -1, -1)"
784,Cn Db Eb F# Gb Ab Bn,013668B,0025679,"(0, -1, -1, 1, -1, -1, 0)"
785,Cn Db Eb F# Gb Ab B#,0136680,0013668,"(0, -1, -1, 1, -1, -1, 1)"
786,Cn Db Eb F# Gb An Bb,013669A,0034679,"(0, -1, -1, 1, -1, 0, -1)"
787,Cn Db Eb F# Gb An Bn,013669B,0035679,"(0, -1, -1, 1, -1, 0, 0)"
788,Cn Db Eb F# Gb An B#,0136690,0036679,"(0, -1, -1, 1, -1, 0, 1)"
789,Cn Db Eb F# Gb A# Bb,01366AA,0023588,"(0, -1, -1, 1, -1, 1, -1)"
790,Cn Db Eb F# Gb A# Bn,01366AB,0035678,"(0, -1, -1, 1, -1, 1, 0)"
791,Cn Db Eb F# Gb A# B#,01366A0,0035668,"(0, -1, -1, 1, -1, 1, 1)"
792,Cn Db Eb F# Gn Ab Bb,013678A,0124679,"(0, -1, -1, 1, 0, -1, -1)"
793,Cn Db Eb F# Gn Ab Bn,013678B,0125679,"(0, -1, -1, 1, 0, -1, 0)"
794,Cn Db Eb F# Gn Ab B#,0136780,0013678,"(0, -1, -1, 1, 0, -1, 1)"
795,Cn Db Eb F# Gn An Bb,013679A,0134679,"(0, -1, -1, 1, 0, 0, -1)"
796,Cn Db Eb F# Gn An Bn,013679B,0135679,"(0, -1, -1, 1, 0, 0, 0)"
797,Cn Db Eb F# Gn An B#,0136790,0136679,"(0, -1, -1, 1, 0, 0, 1)"
798,Cn Db Eb F# Gn A# Bb,01367AA,0144679,"(0, -1, -1, 1, 0, 1, -1)"
799,Cn Db Eb F# Gn A# Bn,01367AB,0145679,"(0, -1, -1, 1, 0, 1, 0)"
800,Cn Db Eb F# Gn A# B#,01367A0,0146679,"(0, -1, -1, 1, 0, 1, 1)"
801,Cn Db Eb F# G# Ab Bb,013688A,0224679,"(0, -1, -1, 1, 1, -1, -1)"
802,Cn Db Eb F# G# Ab Bn,013688B,0225679,"(0, -1, -1, 1, 1, -1, 0)"
803,Cn Db Eb F# G# Ab B#,0136880,0013688,"(0, -1, -1, 1, 1, -1, 1)"
804,Cn Db Eb F# G# An Bb,013689A,0234679,"(0, -1, -1, 1, 1, 0, -1)"
805,Cn Db Eb F# G# An Bn,013689B,0234679,"(0, -1, -1, 1, 1, 0, 0)"
806,Cn Db Eb F# G# An B#,0136890,0233679,"(0, -1, -1, 1, 1, 0, 1)"
807,Cn Db Eb F# G# A# Bb,01368AA,0235579,"(0, -1, -1, 1, 1, 1, -1)"
808,Cn Db Eb F# G# A# Bn,01368AB,0234579,"(0, -1, -1, 1, 1, 1, 0)"
809,Cn Db Eb F# G# A# B#,01368A0,0233579,"(0, -1, -1, 1, 1, 1, 1)"
810,Cn Db En Fb Gb Ab Bb,014468A,0024689,"(0, -1, 0, -1, -1, -1, -1)"
811,Cn Db En Fb Gb Ab Bn,014468B,0024789,"(0, -1, 0, -1, -1, -1, 0)"
812,Cn Db En Fb Gb Ab B#,0144680,0014468,"(0, -1, 0, -1, -1, -1, 1)"
813,Cn Db En Fb Gb An Bb,014469A,0025689,"(0, -1, 0, -1, -1, 0, -1)"
814,Cn Db En Fb Gb An Bn,014469B,0025789,"(0, -1, 0, -1, -1, 0, 0)"
815,Cn Db En Fb Gb An B#,0144690,0025889,"(0, -1, 0, -1, -1, 0, 1)"
816,Cn Db En Fb Gb A# Bb,01446AA,0023668,"(0, -1, 0, -1, -1, 1, -1)"
817,Cn Db En Fb Gb A# Bn,01446AB,0123668,"(0, -1, 0, -1, -1, 1, 0)"
818,Cn Db En Fb Gb A# B#,01446A0,0223668,"(0, -1, 0, -1, -1, 1, 1)"
819,Cn Db En Fb Gn Ab Bb,014478A,0034689,"(0, -1, 0, -1, 0, -1, -1)"
820,Cn Db En Fb Gn Ab Bn,014478B,0034789,"(0, -1, 0, -1, 0, -1, 0)"
821,Cn Db En Fb Gn Ab B#,0144780,0014478,"(0, -1, 0, -1, 0, -1, 1)"
822,Cn Db En Fb Gn An Bb,014479A,0035689,"(0, -1, 0, -1, 0, 0, -1)"
823,Cn Db En Fb Gn An Bn,014479B,0035789,"(0, -1, 0, -1, 0, 0, 0)"
824,Cn Db En Fb Gn An B#,0144790,0035889,"(0, -1, 0, -1, 0, 0, 1)"
825,Cn Db En Fb Gn A# Bb,01447AA,0036689,"(0, -1, 0, -1, 0, 1, -1)"
826,Cn Db En Fb Gn A# Bn,01447AB,0036789,"(0, -1, 0, -1, 0, 1, 0)"
827,Cn Db En Fb Gn A# B#,01447A0,0036889,"(0, -1, 0, -1, 0, 1, 1)"
828,Cn Db En Fb G# Ab Bb,014488A,0024588,"(0, -1, 0, -1, 1, -1, -1)"
829,Cn Db En Fb G# Ab Bn,014488B,0034588,"(0, -1, 0, -1, 1, -1, 0)"
830,Cn Db En Fb G# Ab B#,0144880,0034488,"(0, -1, 0, -1, 1, -1, 1)"
831,Cn Db En Fb G# An Bb,014489A,0034678,"(0, -1, 0, -1, 1, 0, -1)"
832,Cn Db En Fb G# An Bn,014489B,0034578,"(0, -1, 0, -1, 1, 0, 0)"
833,Cn Db En Fb G# An B#,0144890,0034478,"(0, -1, 0, -1, 1, 0, 1)"
834,Cn Db En Fb G# A# Bb,01448AA,0034668,"(0, -1, 0, -1, 1, 1, -1)"
835,Cn Db En Fb G# A# Bn,01448AB,0034568,"(0, -1, 0, -1, 1, 1, 0)"
836,Cn Db En Fb G# A# B#,01448A0,0034468,"(0, -1, 0, -1, 1, 1, 1)"
837,Cn Db En Fn Gb Ab Bb,014568A,0124689,"(0, -1, 0, 0, -1, -1, -1)"
838,Cn Db En Fn Gb Ab Bn,014568B,0124789,"(0, -1, 0, 0, -1, -1, 0)"
839,Cn Db En Fn Gb Ab B#,0145680,0014568,"(0, -1, 0, 0, -1, -1, 1)"
840,Cn Db En Fn Gb An Bb,014569A,0125689,"(0, -1, 0, 0, -1, 0, -1)"
841,Cn Db En Fn Gb An Bn,014569B,0124789,"(0, -1, 0, 0, -1, 0, 0)"
842,Cn Db En Fn Gb An B#,0145690,0114789,"(0, -1, 0, 0, -1, 0, 1)"
843,Cn Db En Fn Gb A# Bb,01456AA,0023678,"(0, -1, 0, 0, -1, 1, -1)"
844,Cn Db En Fn Gb A# Bn,01456AB,0123678,"(0, -1, 0, 0, -1, 1, 0)"
845,Cn Db En Fn Gb A# B#,01456A0,0125668,"(0, -1, 0, 0, -1, 1, 1)"
846,Cn Db En Fn Gn Ab Bb,014578A,0134689,"(0, -1, 0, 0, 0, -1, -1)"
847,Cn Db En Fn Gn Ab Bn,014578B,0125689,"(0, -1, 0, 0, 0, -1, 0)"
848,Cn Db En Fn Gn Ab B#,0145780,0014578,"(0, -1, 0, 0, 0, -1, 1)"
849,Cn Db En Fn Gn An Bb,014579A,0134689,"(0, -1, 0, 0, 0, 0, -1)"
850,Cn Db En Fn Gn An Bn,014579B,0124689,"(0, -1, 0, 0, 0, 0, 0)"
851,Cn Db En Fn Gn An B#,0145790,0114689,"(0, -1, 0, 0, 0, 0, 1)"
852,Cn Db En Fn Gn A# Bb,01457AA,0133689,"(0, -1, 0, 0, 0, 1, -1)"
853,Cn Db En Fn Gn A# Bn,01457AB,0123689,"(0, -1, 0, 0, 0, 1, 0)"
854,Cn Db En Fn Gn A# B#,01457A0,0113689,"(0, -1, 0, 0, 0, 1, 1)"
855,Cn Db En Fn G# Ab Bb,014588A,0135589,"(0, -1, 0, 0, 1, -1, -1)"
856,Cn Db En Fn G# Ab Bn,014588B,0125589,"(0, -1, 0, 0, 1, -1, 0)"
857,Cn Db En Fn G# Ab B#,0145880,0014588,"(0, -1, 0, 0, 1, -1, 1)"
858,Cn Db En Fn G# An Bb,014589A,0134589,"(0, -1, 0, 0, 1, 0, -1)"
859,Cn Db En Fn G# An Bn,014589B,0124589,"(0, -1, 0, 0, 1, 0, 0)"
860,Cn Db En Fn G# An B#,0145890,0114589,"(0, -1, 0, 0, 1, 0, 1)"
861,Cn Db En Fn G# A# Bb,01458AA,0133589,"(0, -1, 0, 0, 1, 1, -1)"
862,Cn Db En Fn G# A# Bn,01458AB,0123589,"(0, -1, 0, 0, 1, 1, 0)"
863,Cn Db En Fn G# A# B#,01458A0,0113589,"(0, -1, 0, 0, 1, 1, 1)"
864,Cn Db En F# Gb Ab Bb,014668A,0135779,"(0, -1, 0, 1, -1, -1, -1)"
865,Cn Db En F# Gb Ab Bn,014668B,0125779,"(0, -1, 0, 1, -1, -1, 0)"
866,Cn Db En F# Gb Ab B#,0146680,0014668,"(0, -1, 0, 1, -1, -1, 1)"
867,Cn Db En F# Gb An Bb,014669A,0134779,"(0, -1, 0, 1, -1, 0, -1)"
868,Cn Db En F# Gb An Bn,014669B,0124779,"(0, -1, 0, 1, -1, 0, 0)"
869,Cn Db En F# Gb An B#,0146690,0114779,"(0, -1, 0, 1, -1, 0, 1)"
870,Cn Db En F# Gb A# Bb,01466AA,0023688,"(0, -1, 0, 1, -1, 1, -1)"
871,Cn Db En F# Gb A# Bn,01466AB,0025678,"(0, -1, 0, 1, -1, 1, 0)"
872,Cn Db En F# Gb A# B#,01466A0,0025668,"(0, -1, 0, 1, -1, 1, 1)"
873,Cn Db En F# Gn Ab Bb,014678A,0135679,"(0, -1, 0, 1, 0, -1, -1)"
874,Cn Db En F# Gn Ab Bn,014678B,0125679,"(0, -1, 0, 1, 0, -1, 0)"
875,Cn Db En F# Gn Ab B#,0146780,0014678,"(0, -1, 0, 1, 0, -1, 1)"
876,Cn Db En F# Gn An Bb,014679A,0134679,"(0, -1, 0, 1, 0, 0, -1)"
877,Cn Db En F# Gn An Bn,014679B,0124679,"(0, -1, 0, 1, 0, 0, 0)"
878,Cn Db En F# Gn An B#,0146790,0114679,"(0, -1, 0, 1, 0, 0, 1)"
879,Cn Db En F# Gn A# Bb,01467AA,0133679,"(0, -1, 0, 1, 0, 1, -1)"
880,Cn Db En F# Gn A# Bn,01467AB,0123679,"(0, -1, 0, 1, 0, 1, 0)"
881,Cn Db En F# Gn A# B#,01467A0,0113679,"(0, -1, 0, 1, 0, 1, 1)"
882,Cn Db En F# G# Ab Bb,014688A,0135579,"(0, -1, 0, 1, 1, -1, -1)"
883,Cn Db En F# G# Ab Bn,014688B,0125579,"(0, -1, 0, 1, 1, -1, 0)"
884,Cn Db En F# G# Ab B#,0146880,0014688,"(0, -1, 0, 1, 1, -1, 1)"
885,Cn Db En F# G# An Bb,014689A,0134579,"(0, -1, 0, 1, 1, 0, -1)"
886,Cn Db En F# G# An Bn,014689B,0124579,"(0, -1, 0, 1, 1, 0, 0)"
887,Cn Db En F# G# An B#,0146890,0114579,"(0, -1, 0, 1, 1, 0, 1)"
888,Cn Db En F# G# A# Bb,01468AA,0133579,"(0, -1, 0, 1, 1, 1, -1)"
889,Cn Db En F# G# A# Bn,01468AB,0123579,"(0, -1, 0, 1, 1, 1, 0)"
890,Cn Db En F# G# A# B#,01468A0,0113579,"(0, -1, 0, 1, 1, 1, 1)"
891,Cn Db E# Fb Gb Ab Bb,015468A,013579A,"(0, -1, 1, -1, -1, -1, -1)"
892,Cn Db E# Fb Gb Ab Bn,015468B,012579A,"(0, -1, 1, -1, -1, -1, 0)"
893,Cn Db E# Fb Gb Ab B#,0154680,011579A,"(0, -1, 1, -1, -1, -1, 1)"
894,Cn Db E# Fb Gb An Bb,015469A,013479A,"(0, -1, 1, -1, -1, 0, -1)"
895,Cn Db E# Fb Gb An Bn,015469B,012479A,"(0, -1, 1, -1, -1, 0, 0)"
896,Cn Db E# Fb Gb An B#,0154690,011479A,"(0, -1, 1, -1, -1, 0, 1)"
897,Cn Db E# Fb Gb A# Bb,01546AA,013379A,"(0, -1, 1, -1, -1, 1, -1)"
898,Cn Db E# Fb Gb A# Bn,01546AB,012379A,"(0, -1, 1, -1, -1, 1, 0)"
899,Cn Db E# Fb Gb A# B#,01546A0,011379A,"(0, -1, 1, -1, -1, 1, 1)"
900,Cn Db E# Fb Gn Ab Bb,015478A,013569A,"(0, -1, 1, -1, 0, -1, -1)"
901,Cn Db E# Fb Gn Ab Bn,015478B,012569A,"(0, -1, 1, -1, 0, -1, 0)"
902,Cn Db E# Fb Gn Ab B#,0154780,011569A,"(0, -1, 1, -1, 0, -1, 1)"
903,Cn Db E# Fb Gn An Bb,015479A,013469A,"(0, -1, 1, -1, 0, 0, -1)"
904,Cn Db E# Fb Gn An Bn,015479B,012469A,"(0, -1, 1, -1, 0, 0, 0)"
905,Cn Db E# Fb Gn An B#,0154790,011469A,"(0, -1, 1, -1, 0, 0, 1)"
906,Cn Db E# Fb Gn A# Bb,01547AA,013369A,"(0, -1, 1, -1, 0, 1, -1)"
907,Cn Db E# Fb Gn A# Bn,01547AB,012369A,"(0, -1, 1, -1, 0, 1, 0)"
908,Cn Db E# Fb Gn A# B#,01547A0,011369A,"(0, -1, 1, -1, 0, 1, 1)"
909,Cn Db E# Fb G# Ab Bb,015488A,013559A,"(0, -1, 1, -1, 1, -1, -1)"
910,Cn Db E# Fb G# Ab Bn,015488B,012559A,"(0, -1, 1, -1, 1, -1, 0)"
911,Cn Db E# Fb G# Ab B#,0154880,011559A,"(0, -1, 1, -1, 1, -1, 1)"
912,Cn Db E# Fb G# An Bb,015489A,013459A,"(0, -1, 1, -1, 1, 0, -1)"
913,Cn Db E# Fb G# An Bn,015489B,012459A,"(0, -1, 1, -1, 1, 0, 0)"
914,Cn Db E# Fb G# An B#,0154890,011459A,"(0, -1, 1, -1, 1, 0, 1)"
915,Cn Db E# Fb G# A# Bb,01548AA,013359A,"(0, -1, 1, -1, 1, 1, -1)"
916,Cn Db E# Fb G# A# Bn,01548AB,012359A,"(0, -1, 1, -1, 1, 1, 0)"
917,Cn Db E# Fb G# A# B#,01548A0,011359A,"(0, -1, 1, -1, 1, 1, 1)"
918,Cn Db E# Fn Gb Ab Bb,015568A,0013578,"(0, -1, 1, 0, -1, -1, -1)"
919,Cn Db E# Fn Gb Ab Bn,015568B,0013678,"(0, -1, 1, 0, -1, -1, 0)"
920,Cn Db E# Fn Gb Ab B#,0155680,0013778,"(0, -1, 1, 0, -1, -1, 1)"
921,Cn Db E# Fn Gb An Bb,015569A,0014578,"(0, -1, 1, 0, -1, 0, -1)"
922,Cn Db E# Fn Gb An Bn,015569B,0014678,"(0, -1, 1, 0, -1, 0, 0)"
923,Cn Db E# Fn Gb An B#,0155690,0014778,"(0, -1, 1, 0, -1, 0, 1)"
924,Cn Db E# Fn Gb A# Bb,01556AA,0015578,"(0, -1, 1, 0, -1, 1, -1)"
925,Cn Db E# Fn Gb A# Bn,01556AB,0015678,"(0, -1, 1, 0, -1, 1, 0)"
926,Cn Db E# Fn Gb A# B#,01556A0,0015778,"(0, -1, 1, 0, -1, 1, 1)"
927,Cn Db E# Fn Gn Ab Bb,015578A,0023578,"(0, -1, 1, 0, 0, -1, -1)"
928,Cn Db E# Fn Gn Ab Bn,015578B,0023678,"(0, -1, 1, 0, 0, -1, 0)"
929,Cn Db E# Fn Gn Ab B#,0155780,0023778,"(0, -1, 1, 0, 0, -1, 1)"
930,Cn Db E# Fn Gn An Bb,015579A,0024578,"(0, -1, 1, 0, 0, 0, -1)"
931,Cn Db E# Fn Gn An Bn,015579B,0024678,"(0, -1, 1, 0, 0, 0, 0)"
932,Cn Db E# Fn Gn An B#,0155790,0024778,"(0, -1, 1, 0, 0, 0, 1)"
933,Cn Db E# Fn Gn A# Bb,01557AA,0025578,"(0, -1, 1, 0, 0, 1, -1)"
934,Cn Db E# Fn Gn A# Bn,01557AB,0025678,"(0, -1, 1, 0, 0, 1, 0)"
935,Cn Db E# Fn Gn A# B#,01557A0,0025778,"(0, -1, 1, 0, 0, 1, 1)"
936,Cn Db E# Fn G# Ab Bb,015588A,0033578,"(0, -1, 1, 0, 1, -1, -1)"
937,Cn Db E# Fn G# Ab Bn,015588B,0033678,"(0, -1, 1, 0, 1, -1, 0)"
938,Cn Db E# Fn G# Ab B#,0155880,0033778,"(0, -1, 1, 0, 1, -1, 1)"
939,Cn Db E# Fn G# An Bb,015589A,0034578,"(0, -1, 1, 0, 1, 0, -1)"
940,Cn Db E# Fn G# An Bn,015589B,0034678,"(0, -1, 1, 0, 1, 0, 0)"
941,Cn Db E# Fn G# An B#,0155890,0034778,"(0, -1, 1, 0, 1, 0, 1)"
942,Cn Db E# Fn G# A# Bb,01558AA,0035578,"(0, -1, 1, 0, 1, 1, -1)"
943,Cn Db E# Fn G# A# Bn,01558AB,0035678,"(0, -1, 1, 0, 1, 1, 0)"
944,Cn Db E# Fn G# A# B#,01558A0,0035778,"(0, -1, 1, 0, 1, 1, 1)"
945,Cn Db E# F# Gb Ab Bb,015668A,0113578,"(0, -1, 1, 1, -1, -1, -1)"
946,Cn Db E# F# Gb Ab Bn,015668B,0113678,"(0, -1, 1, 1, -1, -1, 0)"
947,Cn Db E# F# Gb Ab B#,0156680,0113778,"(0, -1, 1, 1, -1, -1, 1)"
948,Cn Db E# F# Gb An Bb,015669A,0114578,"(0, -1, 1, 1, -1, 0, -1)"
949,Cn Db E# F# Gb An Bn,015669B,0114678,"(0, -1, 1, 1, -1, 0, 0)"
950,Cn Db E# F# Gb An B#,0156690,0114778,"(0, -1, 1, 1, -1, 0, 1)"
951,Cn Db E# F# Gb A# Bb,01566AA,0115578,"(0, -1, 1, 1, -1, 1, -1)"
952,Cn Db E# F# Gb A# Bn,01566AB,0115678,"(0, -1, 1, 1, -1, 1, 0)"
953,Cn Db E# F# Gb A# B#,01566A0,0113778,"(0, -1, 1, 1, -1, 1, 1)"
954,Cn Db E# F# Gn Ab Bb,015678A,0123578,"(0, -1, 1, 1, 0, -1, -1)"
955,Cn Db E# F# Gn Ab Bn,015678B,0123678,"(0, -1, 1, 1, 0, -1, 0)"
956,Cn Db E# F# Gn Ab B#,0156780,0115678,"(0, -1, 1, 1, 0, -1, 1)"
957,Cn Db E# F# Gn An Bb,015679A,0124578,"(0, -1, 1, 1, 0, 0, -1)"
958,Cn Db E# F# Gn An Bn,015679B,0124678,"(0, -1, 1, 1, 0, 0, 0)"
959,Cn Db E# F# Gn An B#,0156790,0114678,"(0, -1, 1, 1, 0, 0, 1)"
960,Cn Db E# F# Gn A# Bb,01567AA,0125578,"(0, -1, 1, 1, 0, 1, -1)"
961,Cn Db E# F# Gn A# Bn,01567AB,0123678,"(0, -1, 1, 1, 0, 1, 0)"
962,Cn Db E# F# Gn A# B#,01567A0,0113678,"(0, -1, 1, 1, 0, 1, 1)"
963,Cn Db E# F# G# Ab Bb,015688A,0133578,"(0, -1, 1, 1, 1, -1, -1)"
964,Cn Db E# F# G# Ab Bn,015688B,0125578,"(0, -1, 1, 1, 1, -1, 0)"
965,Cn Db E# F# G# Ab B#,0156880,0115578,"(0, -1, 1, 1, 1, -1, 1)"
966,Cn Db E# F# G# An Bb,015689A,0134578,"(0, -1, 1, 1, 1, 0, -1)"
967,Cn Db E# F# G# An Bn,015689B,0124578,"(0, -1, 1, 1, 1, 0, 0)"
968,Cn Db E# F# G# An B#,0156890,0114578,"(0, -1, 1, 1, 1, 0, 1)"
969,Cn Db E# F# G# A# Bb,01568AA,0133578,"(0, -1, 1, 1, 1, 1, -1)"
970,Cn Db E# F# G# A# Bn,01568AB,0123578,"(0, -1, 1, 1, 1, 1, 0)"
971,Cn Db E# F# G# A# B#,01568A0,0113578,"(0, -1, 1, 1, 1, 1, 1)"
972,Cn Dn Eb Fb Gb Ab Bb,023468A,012468A,"(0, 0, -1, -1, -1, -1, -1)"
973,Cn Dn Eb Fb Gb Ab Bn,023468B,0134579,"(0, 0, -1, -1, -1, -1, 0)"
974,Cn Dn Eb Fb Gb Ab B#,0234680,0023468,"(0, 0, -1, -1, -1, -1, 1)"
975,Cn Dn Eb Fb Gb An Bb,023469A,0135679,"(0, 0, -1, -1, -1, 0, -1)"
976,Cn Dn Eb Fb Gb An Bn,023469B,0234679,"(0, 0, -1, -1, -1, 0, 0)"
977,Cn Dn Eb Fb Gb An B#,0234690,0234669,"(0, 0, -1, -1, -1, 0, 1)"
978,Cn Dn Eb Fb Gb A# Bb,02346AA,0024568,"(0, 0, -1, -1, -1, 1, -1)"
979,Cn Dn Eb Fb Gb A# Bn,02346AB,0124568,"(0, 0, -1, -1, -1, 1, 0)"
980,Cn Dn Eb Fb Gb A# B#,02346A0,0224568,"(0, 0, -1, -1, -1, 1, 1)"
981,Cn Dn Eb Fb Gn Ab Bb,023478A,0124689,"(0, 0, -1, -1, 0, -1, -1)"
982,Cn Dn Eb Fb Gn Ab Bn,023478B,0124589,"(0, 0, -1, -1, 0, -1, 0)"
983,Cn Dn Eb Fb Gn Ab B#,0234780,0023478,"(0, 0, -1, -1, 0, -1, 1)"
984,Cn Dn Eb Fb Gn An Bb,023479A,0124679,"(0, 0, -1, -1, 0, 0, -1)"
985,Cn Dn Eb Fb Gn An Bn,023479B,0124579,"(0, 0, -1, -1, 0, 0, 0)"
986,Cn Dn Eb Fb Gn An B#,0234790,0124479,"(0, 0, -1, -1, 0, 0, 1)"
987,Cn Dn Eb Fb Gn A# Bb,02347AA,0124669,"(0, 0, -1, -1, 0, 1, -1)"
988,Cn Dn Eb Fb Gn A# Bn,02347AB,0124569,"(0, 0, -1, -1, 0, 1, 0)"
989,Cn Dn Eb Fb Gn A# B#,02347A0,0124469,"(0, 0, -1, -1, 0, 1, 1)"
990,Cn Dn Eb Fb G# Ab Bb,023488A,0024678,"(0, 0, -1, -1, 1, -1, -1)"
991,Cn Dn Eb Fb G# Ab Bn,023488B,0034678,"(0, 0, -1, -1, 1, -1, 0)"
992,Cn Dn Eb Fb G# Ab B#,0234880,0044678,"(0, 0, -1, -1, 1, -1, 1)"
993,Cn Dn Eb Fb G# An Bb,023489A,0124678,"(0, 0, -1, -1, 1, 0, -1)"
994,Cn Dn Eb Fb G# An Bn,023489B,0124578,"(0, 0, -1, -1, 1, 0, 0)"
995,Cn Dn Eb Fb G# An B#,0234890,0124478,"(0, 0, -1, -1, 1, 0, 1)"
996,Cn Dn Eb Fb G# A# Bb,02348AA,0124668,"(0, 0, -1, -1, 1, 1, -1)"
997,Cn Dn Eb Fb G# A# Bn,02348AB,0124568,"(0, 0, -1, -1, 1, 1, 0)"
998,Cn Dn Eb Fb G# A# B#,02348A0,0124468,"(0, 0, -1, -1, 1, 1, 1)"
999,Cn Dn Eb Fn Gb Ab Bb,023568A,013468A,"(0, 0, -1, 0, -1, -1, -1)"
1000,Cn Dn Eb Fn Gb Ab Bn,023568B,0134679,"(0, 0, -1, 0, -1, -1, 0)"
1001,Cn Dn Eb Fn Gb Ab B#,0235680,0023568,"(0, 0, -1, 0, -1, -1, 1)"
1002,Cn Dn Eb Fn Gb An Bb,023569A,0134689,"(0, 0, -1, 0, -1, 0, -1)"
1003,Cn Dn Eb Fn Gb An Bn,023569B,0134679,"(0, 0, -1, 0, -1, 0, 0)"
1004,Cn Dn Eb Fn Gb An B#,0235690,0134669,"(0, 0, -1, 0, -1, 0, 1)"
1005,Cn Dn Eb Fn Gb A# Bb,02356AA,0024578,"(0, 0, -1, 0, -1, 1, -1)"
1006,Cn Dn Eb Fn Gb A# Bn,02356AB,0124578,"(0, 0, -1, 0, -1, 1, 0)"
1007,Cn Dn Eb Fn Gb A# B#,02356A0,0134668,"(0, 0, -1, 0, -1, 1, 1)"
1008,Cn Dn Eb Fn Gn Ab Bb,023578A,013568A,"(0, 0, -1, 0, 0, -1, -1)"
1009,Cn Dn Eb Fn Gn Ab Bn,023578B,0134689,"(0, 0, -1, 0, 0, -1, 0)"
1010,Cn Dn Eb Fn Gn Ab B#,0235780,0023578,"(0, 0, -1, 0, 0, -1, 1)"
1011,Cn Dn Eb Fn Gn An Bb,023579A,013578A,"(0, 0, -1, 0, 0, 0, -1)"
1012,Cn Dn Eb Fn Gn An Bn,023579B,013579A,"(0, 0, -1, 0, 0, 0, 0)"
1013,Cn Dn Eb Fn Gn An B#,0235790,0023579,"(0, 0, -1, 0, 0, 0, 1)"
1014,Cn Dn Eb Fn Gn A# Bb,02357AA,0024579,"(0, 0, -1, 0, 0, 1, -1)"
1015,Cn Dn Eb Fn Gn A# Bn,02357AB,0124579,"(0, 0, -1, 0, 0, 1, 0)"
1016,Cn Dn Eb Fn Gn A# B#,02357A0,0224579,"(0, 0, -1, 0, 0, 1, 1)"
1017,Cn Dn Eb Fn G# Ab Bb,023588A,0024679,"(0, 0, -1, 0, 1, -1, -1)"
1018,Cn Dn Eb Fn G# Ab Bn,023588B,0034679,"(0, 0, -1, 0, 1, -1, 0)"
1019,Cn Dn Eb Fn G# Ab B#,0235880,0023588,"(0, 0, -1, 0, 1, -1, 1)"
1020,Cn Dn Eb Fn G# An Bb,023589A,0124679,"(0, 0, -1, 0, 1, 0, -1)"
1021,Cn Dn Eb Fn G# An Bn,023589B,0134679,"(0, 0, -1, 0, 1, 0, 0)"
1022,Cn Dn Eb Fn G# An B#,0235890,0144679,"(0, 0, -1, 0, 1, 0, 1)"
1023,Cn Dn Eb Fn G# A# Bb,02358AA,0224679,"(0, 0, -1, 0, 1, 1, -1)"
1024,Cn Dn Eb Fn G# A# Bn,02358AB,0234679,"(0, 0, -1, 0, 1, 1, 0)"
1025,Cn Dn Eb Fn G# A# B#,02358A0,0235579,"(0, 0, -1, 0, 1, 1, 1)"
1026,Cn Dn Eb F# Gb Ab Bb,023668A,0024689,"(0, 0, -1, 1, -1, -1, -1)"
1027,Cn Dn Eb F# Gb Ab Bn,023668B,0025689,"(0, 0, -1, 1, -1, -1, 0)"
1028,Cn Dn Eb F# Gb Ab B#,0236680,0023668,"(0, 0, -1, 1, -1, -1, 1)"
1029,Cn Dn Eb F# Gb An Bb,023669A,0034689,"(0, 0, -1, 1, -1, 0, -1)"
1030,Cn Dn Eb F# Gb An Bn,023669B,0035689,"(0, 0, -1, 1, -1, 0, 0)"
1031,Cn Dn Eb F# Gb An B#,0236690,0036689,"(0, 0, -1, 1, -1, 0, 1)"
