Index,Notes (radial),Notes (scalar),PC Set,Prime Form,Forte class,Accidents,1,2,3,4,5,6
11222,Db Cb Bn En F# G# A#,Cb Db En F# G# A# Bn,1BB468A,023579,6-33,"(0, 0, 1, 1, 2, 2, 2)",1,4,3,2,4,1
12000,Db Cb Bn E# Fb Gb Ab,Cb Db E# Fb Gb Ab Bn,1BB5468,012479,6-47,"(0, 0, 1, 2, 0, 0, 0)",2,3,3,2,4,1
12001,Db Cb Bn E# Fb Gb An,Cb Db E# Fb Gb An Bn,1BB5469,012579,6-48,"(0, 0, 1, 2, 0, 0, 1)",2,3,2,3,4,1
12002,Db Cb Bn E# Fb Gb A#,Cb Db E# Fb Gb A# Bn,1BB546A,012578,6-18,"(0, 0, 1, 2, 0, 0, 2)",3,2,2,2,4,2
12010,Db Cb Bn E# Fb Gn Ab,Cb Db E# Fb Gn Ab Bn,1BB5478,013479,6-49,"(0, 0, 1, 2, 0, 1, 0)",2,2,4,3,2,2
12011,Db Cb Bn E# Fb Gn An,Cb Db E# Fb Gn An Bn,1BB5479,013579,6-34,"(0, 0, 1, 2, 0, 1, 1)",1,4,2,4,2,2
12012,Db Cb Bn E# Fb Gn A#,Cb Db E# Fb Gn A# Bn,1BB547A,013679,6-30,"(0, 0, 1, 2, 0, 1, 2)",2,2,4,2,2,3
12020,Db Cb Bn E# Fb G# Ab,Cb Db E# Fb G# Ab Bn,1BB5488,01469,5-32,"(0, 0, 1, 2, 0, 2, 0)",1,1,3,2,2,1
12021,Db Cb Bn E# Fb G# An,Cb Db E# Fb G# An Bn,1BB5489,013589,6-31,"(0, 0, 1, 2, 0, 2, 1)",2,2,3,4,3,1
12022,Db Cb Bn E# Fb G# A#,Cb Db E# Fb G# A# Bn,1BB548A,014679,6-50,"(0, 0, 1, 2, 0, 2, 2)",2,2,4,2,3,2
12100,Db Cb Bn E# Fn Gb Ab,Cb Db E# Fn Gb Ab Bn,1BB5568,01368,5-29,"(0, 0, 1, 2, 1, 0, 0)",1,2,2,1,3,1
12101,Db Cb Bn E# Fn Gb An,Cb Db E# Fn Gb An Bn,1BB5569,01468,5-30,"(0, 0, 1, 2, 1, 0, 1)",1,2,1,3,2,1
12102,Db Cb Bn E# Fn Gb A#,Cb Db E# Fn Gb A# Bn,1BB556A,01378,5-20,"(0, 0, 1, 2, 1, 0, 2)",2,1,1,2,3,1
